epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.65,1.41095,2.96434,1.10875,0.9087,0.80266,0.83991,0.52705,1.28112,2.79205,1.16568,0.00066,0.00066,0.00066
2,285.728,1.4154,2.29246,1.20458,0.95299,0.83065,0.9195,0.56468,1.33701,1.75818,1.18546,0.00123911,0.00123911,0.00123911
3,435.506,1.47853,1.94756,1.23159,0.93103,0.90323,0.93616,0.55708,1.32677,1.38191,1.26544,0.00173021,0.00173021,0.00173021
4,581.198,1.4345,1.46412,1.23035,0.9163,0.74194,0.77685,0.44738,1.32355,1.23027,1.19839,0.001604,0.001604,0.001604
5,696.067,1.37923,1.22043,1.16966,0.93339,0.90407,0.96222,0.57424,1.30861,1.16457,1.16914,0.001472,0.001472,0.001472
6,983.125,1.25992,1.72398,1.13548,0.87685,0.57422,0.59381,0.33165,1.28397,1.03948,1.16405,0.00134,0.00134,0.00134
7,5241.65,1.26655,1.25985,1.11424,0.88331,0.81452,0.84003,0.51353,1.29785,0.95853,1.18173,0.001208,0.001208,0.001208
8,5528.84,1.31724,1.12055,1.14661,0.9655,0.90287,0.96732,0.59824,1.31226,0.82916,1.20568,0.001076,0.001076,0.001076
9,5631.06,1.21737,1.02855,1.08672,0.97024,0.93548,0.98303,0.63083,1.26335,0.74878,1.13737,0.000944,0.000944,0.000944
10,5733.1,1.21352,1.0563,1.06948,0.96663,0.93456,0.97875,0.63488,1.23221,0.73041,1.13154,0.000812,0.000812,0.000812
11,5833.34,1.1515,0.85779,1.07393,0.95878,0.93801,0.9837,0.66299,1.18803,0.67106,1.11778,0.00068,0.00068,0.00068
12,5925.66,1.20221,0.78418,1.08574,0.96027,0.92742,0.98099,0.65882,1.17411,0.67022,1.09434,0.000548,0.000548,0.000548
13,6100.4,1.18876,0.72003,1.10938,0.947,0.95161,0.98599,0.66953,1.16212,0.67983,1.11603,0.000416,0.000416,0.000416
14,6210.34,1.1159,0.7129,1.08018,0.95498,0.93548,0.98563,0.67339,1.1529,0.66102,1.10901,0.000284,0.000284,0.000284
15,6312.98,1.14253,0.7231,1.08806,0.96661,0.93386,0.9878,0.67978,1.15916,0.64361,1.1153,0.000152,0.000152,0.000152
