epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7494,1.46408,3.09846,1.17414,0.00178,0.99074,0.60917,0.40354,1.20698,3.72626,1.12527,0.000653333,0.000653333,0.000653333
2,33.5189,1.37541,2.19881,1.2182,0.89496,0.78704,0.93634,0.52536,1.43382,2.22886,1.32147,0.00128733,0.00128733,0.00128733
3,49.0918,1.39457,1.70552,1.20139,0.91167,0.86111,0.96227,0.57667,1.3067,1.21548,1.24327,0.00188833,0.00188833,0.00188833
4,64.5583,1.36252,1.41011,1.19854,0.86212,0.92635,0.9519,0.55717,1.36357,1.31368,1.26728,0.0018515,0.0018515,0.0018515
5,79.204,1.35669,1.20592,1.21104,0.93952,0.92593,0.97323,0.60553,1.26936,0.90294,1.24784,0.001802,0.001802,0.001802
6,94.2819,1.34986,1.04288,1.19531,0.93762,0.92593,0.97635,0.64096,1.21596,0.8419,1.18614,0.0017525,0.0017525,0.0017525
7,109.433,1.34143,0.93552,1.20331,0.92642,0.93267,0.97418,0.63028,1.22483,0.80958,1.21949,0.001703,0.001703,0.001703
8,124.999,1.31484,0.8603,1.19724,0.92798,0.95451,0.96877,0.62145,1.2179,0.72054,1.17162,0.0016535,0.0016535,0.0016535
9,139.991,1.27066,0.81779,1.14895,0.94018,0.94444,0.97169,0.63471,1.18976,0.71344,1.19071,0.001604,0.001604,0.001604
10,154.881,1.24948,0.83251,1.14153,0.92694,0.93982,0.97606,0.64143,1.17607,0.71058,1.17242,0.0015545,0.0015545,0.0015545
11,169.429,1.23375,0.74406,1.15519,0.91257,0.96645,0.9713,0.62218,1.24731,0.74141,1.22215,0.001505,0.001505,0.001505
12,184.315,1.26666,0.74421,1.14787,0.94674,0.9537,0.98272,0.64474,1.20353,0.63075,1.16791,0.0014555,0.0014555,0.0014555
